"Project ID","Project Name","Status","Points","Requirement Scope","Requirement Group","Requirement Title","Requirement Description","Weight (%)","Points (calculated)"
"d6he9952-k51f-0gjj-g7h4-15kl90331hl6","project-7","draft","75","Common","Testowanie","","@DataJpaTest dla testowania repository. Min. 10 testów CRUD. RowMapper i custom queries.","2","1.5"
"d6he9952-k51f-0gjj-g7h4-15kl90331hl6","project-7","draft","75","Common","Testowanie","","@Mock, @InjectMocks, Mockito: when().thenReturn(), verify(). Unit testy dla logiki biznesowej.","3","2.25"
"d6he9952-k51f-0gjj-g7h4-15kl90331hl6","project-7","draft","75","Common","Testowanie","","@WebMvcTest lub @SpringBootTest dla controllerów REST. MockMvc: perform(), andExpect(). @WithMockUser dla testów Security. Min. 5 scenariuszy biznesowych.","2","1.5"
"d6he9952-k51f-0gjj-g7h4-15kl90331hl6","project-7","draft","75","Common","Testowanie","","JaCoCo - coverage 70%+. Raport z pokryciem kodu. Testy obejmują Happy Path i Error Cases.","1","0.75"
"d6he9952-k51f-0gjj-g7h4-15kl90331hl6","project-7","draft","75","Common","Wymagania dodatkowe","","Zastosowanie logowania (poziomy INFO, ERROR, DEBUG) w kluczowych momentach procesów biznesowych (wejście do metody, wystąpienie błędu).","2","1.5"
"d6he9952-k51f-0gjj-g7h4-15kl90331hl6","project-7","draft","75","Common","Wymagania dodatkowe","","Przygotowanie pliku Dockerfile dla aplikacji oraz docker-compose.yml, który stawia aplikację oraz bazę danych. Umożliwienie uruchomienia całego środowiska jedną komendą docker-compose up.","4","3"
"d6he9952-k51f-0gjj-g7h4-15kl90331hl6","project-7","draft","75","Common","Wymagania dodatkowe","","Implementacja testu automatycznego (JUnit + ArchUnit), który pilnuje reguł architektonicznych z Grupy 1 i 2 (np. ""Klasy z pakietu Controller nie mogą zależeć od klas z pakietu Entity"" lub ""Klasy Service muszą być w pakiecie .service"").","4","3"
"d6he9952-k51f-0gjj-g7h4-15kl90331hl6","project-7","draft","75","Common","Wymagania dodatkowe","","Prosty test automatyczny uruchamiający przeglądarkę i sprawdzający, czy aplikacja (np. strona logowania lub Swagger) poprawnie się ładuje (tytuł strony, obecność elementu).","5","3.75"
"d6he9952-k51f-0gjj-g7h4-15kl90331hl6","project-7","draft","75","Common","Wymagania dodatkowe","","","5","3.75"
"d6he9952-k51f-0gjj-g7h4-15kl90331hl6","project-7","draft","75","Specific","Project-specific","","Implementacja wyszukiwarki filtrującej po: tytule, autorze i gatunku (Keywords). Sekcja 'Popularne' wyświetlająca książki z najwyższą średnią ocen. Lista wyników musi posiadać opcje sortowania (np. po roku wydania, alfabetycznie).","10","7.5"
"d6he9952-k51f-0gjj-g7h4-15kl90331hl6","project-7","draft","75","Specific","Project-specific","","Widok pojedynczej książki zawierający: okładkę, opis, metadane (Wydawnictwo, Rok, Autorzy, Gatunki). Moduł ocen (gwiazdki) z ograniczeniem czasowym (np. jedna ocena na tydzień dla użytkownika) oraz moduł komentarzy (przypisanych do zalogowanego użytkownika). Wyliczanie średniej oceny.","10","7.5"
"d6he9952-k51f-0gjj-g7h4-15kl90331hl6","project-7","draft","75","Specific","Project-specific","","Logika biznesowa obsługująca proces wypożyczenia. Użytkownik rezerwuje książkę -> musi potwierdzić rezerwację (zmiana stanu). Rezerwacja posiada stany: OCZEKUJĄCA, POTWIERDZONA, WYPOŻYCZONA, ZWRÓCONA. Blokada rezerwacji, jeśli brak egzemplarzy na stanie.","10","7.5"
"d6he9952-k51f-0gjj-g7h4-15kl90331hl6","project-7","draft","75","Specific","Project-specific","","Dashboard dostępny po zalogowaniu. Dostęp do historii wypożyczeń i aktualnych rezerwacji. Możliwość edycji/anulowania rezerwacji, która nie została jeszcze przetworzona (nie jest w stanie 'Wypożyczona').","10","7.5"
"d6he9952-k51f-0gjj-g7h4-15kl90331hl6","project-7","draft","75","Specific","Project-specific","","CRUD dla Książek, Użytkowników i Komentarzy. Moduł analityczny generujący raporty tabelaryczne: Najpopularniejsze książki, Najczęściej czytani autorzy, Najaktywniejsi użytkownicy. Statystyki powinny być obliczane na podstawie danych z bazy (JPQL/Native SQL).","10","7.5"
